content_label,playlist_count,median_non_owner_monthly_stream30s,success_rate,median_owner_stream_share,pct_of_spotify_owned_playlists,success_rate_lift
Excited,61,463959.0,0.22950819672131148,5.824394053340266e-07,0.15288220551378445,2.2893442622950824
Sentimental,8,390502.0,0.125,2.46603894467343e-07,0.020050125313283207,1.2468750000000002
Melancholy,19,366777.0,0.10526315789473684,0.0,0.047619047619047616,1.05
Peaceful,8,348388.5,0.0,0.0,0.020050125313283207,0.0
Tender,5,272418.0,0.4,0.0,0.012531328320802004,3.9900000000000007
Defiant,31,230912.0,0.12903225806451613,5.822256974627186e-07,0.07769423558897243,1.2870967741935484
Upbeat,17,222354.0,0.17647058823529413,0.0,0.042606516290726815,1.760294117647059
Sensual,49,209600.0,0.04081632653061224,0.0,0.12280701754385964,0.40714285714285714
Yearning,37,188078.0,0.10810810810810811,3.38186421206453e-07,0.09273182957393483,1.0783783783783785
Cool,5,132620.0,0.0,0.0,0.012531328320802004,0.0
Brooding,27,103868.0,0.0,0.0,0.06766917293233082,0.0
Gritty,17,100845.0,0.0,3.092446205352035e-06,0.042606516290726815,0.0
Energizing,16,75487.0,0.125,0.0,0.040100250626566414,1.2468750000000002
Empowering,26,74765.5,0.07692307692307693,0.0,0.06516290726817042,0.7673076923076924
Aggressive,10,74306.0,0.0,2.659532028744222e-06,0.02506265664160401,0.0
Rowdy,6,58343.5,0.16666666666666666,6.139258735375847e-07,0.015037593984962405,1.6625
Urgent,22,43378.0,0.045454545454545456,0.0,0.05513784461152882,0.45340909090909093
Lively,12,23347.5,0.08333333333333333,0.0,0.03007518796992481,0.83125
Other,8,15814.0,0.0,0.0,0.020050125313283207,0.0
