model,term,coefficient,abs_coefficient
Broad reach,log_n_title_tokens,0.6898742198658919,0.6898742198658919
Broad reach,log_n_tracks,0.368220017533206,0.368220017533206
Broad reach,log_owner_playlist_count,0.34603849673656994,0.34603849673656994
Broad reach,log_recent_track_change,-0.07988727214674468,0.07988727214674468
Broad reach,log_n_artists,-0.023898098561029823,0.023898098561029823
Broad reach,log_n_albums,0.013671160391569667,0.013671160391569667
Continuity,log_n_title_tokens,-0.17753412793106144,0.17753412793106144
Continuity,log_n_albums,0.06687739202486792,0.06687739202486792
Continuity,log_n_tracks,-0.03656664678649135,0.03656664678649135
Continuity,log_recent_track_change,0.011766921673551504,0.011766921673551504
Continuity,log_n_artists,-0.008356869941283141,0.008356869941283141
Continuity,log_owner_playlist_count,-0.002261805010524343,0.002261805010524343
Per-user intensity,log_n_title_tokens,-0.8133860265808984,0.8133860265808984
Per-user intensity,log_owner_playlist_count,-0.4586403120519099,0.4586403120519099
Per-user intensity,log_n_tracks,0.1299768091262033,0.1299768091262033
Per-user intensity,log_n_artists,-0.07777731786462432,0.07777731786462432
Per-user intensity,log_n_albums,0.054428401969668014,0.054428401969668014
Per-user intensity,log_recent_track_change,0.03273850920139338,0.03273850920139338
