model,specification,outcome_label,n,r_squared,adj_r_squared
Broad reach,Structural only,log(1 + non-owner monthly 30s streams),417085,0.12707337349896064,0.12706081575254624
Broad reach,Content only,log(1 + non-owner monthly 30s streams),417085,0.012874696128900354,0.012765814530633413
Broad reach,Structural + content,log(1 + non-owner monthly 30s streams),417085,0.14106831963455702,0.14096121886680046
Per-user intensity,Structural only,log(1 + monthly 30s streams per active user),417085,0.11646169212164226,0.11644898171771956
Per-user intensity,Content only,log(1 + monthly 30s streams per active user),417085,0.020700720174018805,0.020592701799501345
Per-user intensity,Structural + content,log(1 + monthly 30s streams per active user),417085,0.12736635610727676,0.12725754683249102
Continuity,Structural only,continuity rate,365214,0.08075706684395645,0.08074196456607319
Continuity,Content only,continuity rate,365214,0.05566773881287501,0.055548781502892
Continuity,Structural + content,continuity rate,365214,0.10769589400992086,0.10756882728178874
