covariate,Type,Diff.Un,Diff.Adj,M.Threshold
log_n_local_tracks,Contin.,-1.7770329309739934,-0.09946189047408155,"Balanced, <0.1"
log_n_tracks,Contin.,-0.30306279524445723,-0.16333470676543688,"Not Balanced, >0.1"
log_n_artists,Contin.,0.22671935761069953,-0.12846012903508294,"Not Balanced, >0.1"
log_n_albums,Contin.,0.20102223803531066,-0.14284690870199068,"Not Balanced, >0.1"
genre_1_Rap,Binary,-0.11373357286696645,-1.1292310877331763e-4,"Balanced, <0.1"
genre_1_Religious,Binary,0.05971785703736029,-2.8230777193313794e-4,"Balanced, <0.1"
genre_1_Indie Rock,Binary,0.041688936203216315,-5.45795025738538e-4,"Balanced, <0.1"
tok_indie,Binary,0.040274478070696854,0.0023776587902797006,"Balanced, <0.1"
genre_1_Electronica,Binary,0.037550779757545436,-1.8193167524582776e-4,"Balanced, <0.1"
genre_1_R&B,Binary,-0.032648826106216944,-1.254701208592418e-5,"Balanced, <0.1"
tok_pop,Binary,0.030227643046576397,-0.01010348148217867,"Balanced, <0.1"
tok_party,Binary,0.028454477429470017,-0.010125438753329032,"Balanced, <0.1"
tok_rock,Binary,0.026942458961360938,0.007440378166944178,"Balanced, <0.1"
genre_1_Rock,Binary,-0.020122020811351796,-1.254701208592418e-4,"Balanced, <0.1"
genre_1_Blues,Binary,0.019280907752146324,-6.900856647258993e-5,"Balanced, <0.1"
tok_chill,Binary,0.018223762605600526,0.002415299826537473,"Balanced, <0.1"
genre_1_Punk,Binary,-0.01637032843570869,-1.882051812888974e-5,"Balanced, <0.1"
tok_country,Binary,0.0160779990851119,-0.015128559822585395,"Balanced, <0.1"
genre_1_Pop,Binary,0.01602369245868246,-4.265984109217136e-4,"Balanced, <0.1"
tok_love,Binary,0.015395725480991673,-5.01880483437106e-5,"Balanced, <0.1"
tok_workout,Binary,0.014570746164437626,-0.0025627272185470597,"Balanced, <0.1"
tok_night,Binary,0.01280474099455835,-7.214531949403802e-5,"Balanced, <0.1"
genre_1_Country & Folk,Binary,-0.012644688931983346,-5.646155438665881e-5,"Balanced, <0.1"
genre_1_Spoken & Audio,Binary,0.009669471573303407,-3.136753021481045e-5,"Balanced, <0.1"
tok_hits,Binary,0.0080171907968524,-0.0025376331943752183,"Balanced, <0.1"
tok_dance,Binary,0.00794947879462353,0.004984300551127476,"Balanced, <0.1"
genre_1_Reggae,Binary,-0.005576120974379593,-6.27350604296209e-6,"Balanced, <0.1"
genre_1_Classical,Binary,0.005102136958777504,-3.764103625777254e-5,"Balanced, <0.1"
genre_1_Soundtrack,Binary,-0.004748674001583859,-3.136753021481392e-5,"Balanced, <0.1"
genre_1_Latin,Binary,0.003999318951129441,-1.1919661481629013e-4,"Balanced, <0.1"
genre_1_Jazz,Binary,0.0038755299155360675,-1.254701208592418e-5,"Balanced, <0.1"
genre_1_Dance & House,Binary,0.0034599935809409912,0.0023462912600649283,"Balanced, <0.1"
genre_1_Metal,Binary,0.0031136183145250625,-4.39145423007381e-5,"Balanced, <0.1"
genre_1_Holiday,Binary,0.0021095247456567913,-6.27350604296209e-6,"Balanced, <0.1"
genre_1_New Age,Binary,0.002046675299461907,-1.882051812888974e-5,"Balanced, <0.1"
tok_summer,Binary,-0.0018094043919382168,0.0024780348869670715,"Balanced, <0.1"
genre_1_Children's,Binary,-0.0016377416126486409,-6.27350604296209e-6,"Balanced, <0.1"
genre_1_Alternative,Binary,-1.5646880744273062e-4,-2.0075219337463424e-4,"Balanced, <0.1"
